Harvest,Region,Net extent harvested (ha),Production (MT)
2007 Yala,BADULLA,9099,42214
2007 Yala,MONARAGALA,8744,38269
2007 Yala,JAFFNA,-,-
2007 Yala,KILLINOCHCHI,3129,10974
2007 Yala,VAVUNIYA,552,2453
2007 Yala,MULATIVU,1735,6532
2007 Yala,MANNAR,797,3366
2007 Yala,ANURADHAPURA,11759,56492
2007 Yala,POLONNARUWA,43823,221598
2007 Yala,TRINCOMALEE,9632,42147
2007 Yala,BATTICALOA,1890,6955
2007 Yala,AMPARA,51257,255935
2007 Yala,HAMBANTOTA,18148,89652
2007 Yala,UDAWALAWE,9193,51855
2007 Yala,MAHAWELI 'H',10259,52690
2006/2007 Maha,COLOMBO,2846,8632
2006/2007 Maha,GAMPAHA,6878,21551
2006/2007 Maha,KALUTARA,10545,33424
2006/2007 Maha,GALLE,9681,33088
2006/2007 Maha,MATARA,10151,37477
2006/2007 Maha,RATNAPURA,9429,31512
2006/2007 Maha,KEGALLE,7708,24223
2006/2007 Maha,KURUNEGALA,69736,281367
2006/2007 Maha,PUTTALAM,10008,39652
2006/2007 Maha,KANDY,9520,35322
2006/2007 Maha,MATALE,13660,52813
2006/2007 Maha,NUWARAELIYA,3004,10390
2006/2007 Maha,BADULLA,18921,83899
2006/2007 Maha,MONARAGALA,22609,92439
2006/2007 Maha,JAFFNA,5552,11886
2006/2007 Maha,KILLINOCHCHI,12729,42569
2006/2007 Maha,VAVUNIYA,3823,16542
2006/2007 Maha,MULATIVU,8713,31575
2006/2007 Maha,MANNAR,5196,20130
2006/2007 Maha,ANURADHAPURA,46228,218485
2006/2007 Maha,POLONNARUWA,44701,228835
2006/2007 Maha,TRINCOMALEE,14796,63039
2006/2007 Maha,BATTICALOA,12961,37476
2006/2007 Maha,AMPARA,49454,244031
2006/2007 Maha,HAMBANTOTA,19112,99677
2006/2007 Maha,UDAWALAWE,9270,52243
2006/2007 Maha,MAHAWELI 'H',21687,120653
2006 Yala,COLOMBO,387,983
2006 Yala,GAMPAHA,936,2490
2006 Yala,KALUTARA,8657,23316
2006 Yala,GALLE,3831,10453
2006 Yala,MATARA,9012,31996
2006 Yala,RATNAPURA,8060,27142
2006 Yala,KEGALLE,5122,16030
2006 Yala,KURUNEGALA,33338,121783
2006 Yala,PUTTALAM,5588,20378
2006 Yala,KANDY,6241,24313
2006 Yala,MATALE,6536,23447
2006 Yala,NUWARAELIYA,1061,3311
2006 Yala,BADULLA,9603,42141
2006 Yala,MONARAGALA,6448,26148
2006 Yala,JAFFNA,-,-
2006 Yala,KILLINOCHCHI**,3982,14180
2006 Yala,VAVUNIYA,670,2970
2006 Yala,MULATIVU**,2469,9012
2006 Yala,MANNAR**,46,185
2006 Yala,ANURADHAPURA,16944,77257
2006 Yala,POLONNARUWA,42904,210183
2006 Yala,TRINCOMALEE,9596,42370
2006 Yala,BATTICALOA,13438,49031
2006 Yala,AMPARA,52584,256824
2006 Yala,HAMBANTOTA,14334,64069
2006 Yala,UDAWALAWE,9108,49404
2006 Yala,MAHAWELI 'H',12062,56901
2005/2006 Maha,COLOMBO,3754,12292
2005/2006 Maha,GAMPAHA,8290,29869
2005/2006 Maha,KALUTARA,12140,34729
2005/2006 Maha,GALLE,11019,38540
2005/2006 Maha,MATARA,11580,46608
2005/2006 Maha,RATNAPURA,10366,31221
2005/2006 Maha,KEGALLE,8221,33151
2005/2006 Maha,KURUNEGALA,73205,267590
2005/2006 Maha,PUTTALAM,9573,33039
2005/2006 Maha,KANDY,9960,36060
2005/2006 Maha,MATALE,14275,49562
2005/2006 Maha,NUWARAELIYA,3344,13032
2005/2006 Maha,BADULLA,18832,80562
2005/2006 Maha,MONARAGALA,16411,64932
2005/2006 Maha,JAFFNA,6433,12719
2005/2006 Maha,KILLINOCHCHI,12711,42522
2005/2006 Maha,VAVUNIYA,8777,34214
2005/2006 Maha,MULATIVU,8713,31576
2005/2006 Maha,MANNAR,8904,36584
2005/2006 Maha,ANURADHAPURA,49617,224258
2005/2006 Maha,POLONNARUWA,46582,228781
2005/2006 Maha,TRINCOMALEE,21548,85439
2005/2006 Maha,BATTICALOA,41106,131830
2005/2006 Maha,AMPARA,59858,273932
2005/2006 Maha,HAMBANTOTA,17363,88006
2005/2006 Maha,UDAWALAWE,9706,55136
2005/2006 Maha,MAHAWELI 'H',22515,119406
2005 Yala,COLOMBO,1918,4663
2005 Yala,GAMPAHA,2897,7938
2005 Yala,KALUTARA,10559,24656
2005 Yala,GALLE,7306,20369
2005 Yala,MATARA,11134,35843
2005 Yala,RATNAPURA,8769,26532
2005 Yala,KEGALLE,7260,22346
2005 Yala,KURUNEGALA,36773,108670
2005 Yala,PUTTALAM,4789,16304
2005 Yala,KANDY,6938,24208
2005 Yala,MATALE,4745,15210
2005 Yala,NUWARAELIYA,1067,3112
2005 Yala,BADULLA,9685,41170
2005 Yala,MONARAGALA,5961,22121
2005 Yala,JAFFNA,-,-
2005 Yala,KILLINOCHCHI,4192,15078
2005 Yala,VAVUNIYA,1255,4934
2005 Yala,MULATIVU,2304,8737
2005 Yala,MANNAR,1023,4194
2005 Yala,ANURADHAPURA,19508,82477
2005 Yala,POLONNARUWA,44079,209846
2005 Yala,TRINCOMALEE,14023,62603
2005 Yala,BATTICALOA,14746,50882
2005 Yala,AMPARA,53827,256551
2005 Yala,HAMBANTOTA,14409,60028
2005 Yala,UDAWALAWE,9006,46529
2005 Yala,MAHAWELI 'H',12077,58481
2004/2005 Maha,COLOMBO,3903,12687
2004/2005 Maha,GAMPAHA,8644,29460
2004/2005 Maha,KALUTARA,12556,35971
2004/2005 Maha,GALLE,10912,40494
2004/2005 Maha,MATARA,11602,43912
2004/2005 Maha,RATNAPURA,10394,31472
2004/2005 Maha,KEGALLE,8355,28430
2004/2005 Maha,KURUNEGALA,60493,211245
2004/2005 Maha,PUTTALAM,8933,33090
2004/2005 Maha,KANDY,10697,37309
2004/2005 Maha,MATALE,14194,55614
2004/2005 Maha,NUWARAELIYA,3245,14194
2004/2005 Maha,BADULLA,18795,80143
2004/2005 Maha,MONARAGALA,15545,60780
2004/2005 Maha,JAFFNA,6417,14207
2004/2005 Maha,KILLINOCHCHI,15186,52558
2004/2005 Maha,VAVUNIYA,7851,28934
2004/2005 Maha,MULATIVU,9776,33863
2004/2005 Maha,MANNAR,9098,38240
2004/2005 Maha,ANURADHAPURA,49059,223169
2004/2005 Maha,POLONNARUWA,46196,230608
2004/2005 Maha,TRINCOMALEE,22888,89880
2004/2005 Maha,BATTICALOA,39997,94394
2004/2005 Maha,AMPARA,56662,243191
2004/2005 Maha,HAMBANTOTA,16319,72893
2004/2005 Maha,UDAWALAWE,8706,46447
2004/2005 Maha,MAHAWELI 'H',22504,129523
