Harvest,Region,SHY,Irrigation_type,Value
2019/2020 MAHA,MULATIVU,Yield,Major,4711
2019/2020 MAHA,KILLINOCHCHI,Yield,Major,3778
2019/2020 MAHA,BATTICALOA,Yield,Major,3824
2019/2020 MAHA,AMPARA,Yield,Major,4986
2019/2020 MAHA,TRINCOMALEE,Yield,Major,4752
2019/2020 MAHA,KURUNEGALA,Yield,Major,5733
2019/2020 MAHA,PUTTALAM,Yield,Major,4711
2019/2020 MAHA,ANURADHAPURA,Yield,Major,6215
2019/2020 MAHA,POLONNARUWA,Yield,Major,5341
2019/2020 MAHA,BADULLA,Yield,Major,4501
2019/2020 MAHA,MONARAGALA,Yield,Major,6324
2019/2020 MAHA,RATNAPURA,Yield,Major,6096
2019/2020 MAHA,KEGALLE,Yield,Major,NA
2019/2020 MAHA,COLOMBO,Yield,Minor,3496
2019/2020 MAHA,GAMPAHA,Yield,Minor,4156
2019/2020 MAHA,KALUTARA,Yield,Minor,3523
2019/2020 MAHA,KANDY,Yield,Minor,3229
2019/2020 MAHA,MATALE,Yield,Minor,5162
2019/2020 MAHA,NUWARAELIYA,Yield,Minor,3607
2019/2020 MAHA,GALLE,Yield,Minor,3845
2019/2020 MAHA,MATARA,Yield,Minor,3553
2019/2020 MAHA,HAMBANTOTA,Yield,Minor,5478
2019/2020 MAHA,JAFFNA,Yield,Minor,NA
2019/2020 MAHA,MANNAR,Yield,Minor,4651
2019/2020 MAHA,VAVUNIYA,Yield,Minor,5034
2019/2020 MAHA,MULATIVU,Yield,Minor,4806
2019/2020 MAHA,KILLINOCHCHI,Yield,Minor,3329
2019/2020 MAHA,BATTICALOA,Yield,Minor,4059
2019/2020 MAHA,AMPARA,Yield,Minor,3965
2019/2020 MAHA,TRINCOMALEE,Yield,Minor,4418
2019/2020 MAHA,KURUNEGALA,Yield,Minor,4748
2019/2020 MAHA,PUTTALAM,Yield,Minor,4629
2019/2020 MAHA,ANURADHAPURA,Yield,Minor,5118
2019/2020 MAHA,POLONNARUWA,Yield,Minor,6272
2019/2020 MAHA,BADULLA,Yield,Minor,4532
2019/2020 MAHA,MONARAGALA,Yield,Minor,4688
2019/2020 MAHA,RATNAPURA,Yield,Minor,4781
2019/2020 MAHA,KEGALLE,Yield,Minor,4167
2019/2020 MAHA,COLOMBO,Yield,RainFed,3506
2019/2020 MAHA,GAMPAHA,Yield,RainFed,4240
2019/2020 MAHA,KALUTARA,Yield,RainFed,3660
2019/2020 MAHA,KANDY,Yield,RainFed,4432
2019/2020 MAHA,MATALE,Yield,RainFed,5406
2019/2020 MAHA,NUWARAELIYA,Yield,RainFed,4034
2019/2020 MAHA,GALLE,Yield,RainFed,4011
2019/2020 MAHA,MATARA,Yield,RainFed,3498
2019/2020 MAHA,HAMBANTOTA,Yield,RainFed,3992
2019/2020 MAHA,JAFFNA,Yield,RainFed,3628
2019/2020 MAHA,MANNAR,Yield,RainFed,3447
2019/2020 MAHA,VAVUNIYA,Yield,RainFed,4982
2019/2020 MAHA,MULATIVU,Yield,RainFed,4452
2019/2020 MAHA,KILLINOCHCHI,Yield,RainFed,4505
2019/2020 MAHA,BATTICALOA,Yield,RainFed,3735
2019/2020 MAHA,AMPARA,Yield,RainFed,4107
2019/2020 MAHA,TRINCOMALEE,Yield,RainFed,3647
2019/2020 MAHA,KURUNEGALA,Yield,RainFed,4036
2019/2020 MAHA,PUTTALAM,Yield,RainFed,4526
2019/2020 MAHA,ANURADHAPURA,Yield,RainFed,4716
2019/2020 MAHA,POLONNARUWA,Yield,RainFed,4305
2019/2020 MAHA,BADULLA,Yield,RainFed,3986
2019/2020 MAHA,MONARAGALA,Yield,RainFed,3955
2019/2020 MAHA,RATNAPURA,Yield,RainFed,3964
2019/2020 MAHA,KEGALLE,Yield,RainFed,4718
2019 YALA,COLOMBO,Sown,Major,103
2019 YALA,GAMPAHA,Sown,Major,1341
2019 YALA,KALUTARA,Sown,Major,98
2019 YALA,KANDY,Sown,Major,3647
2019 YALA,MATALE,Sown,Major,3390
2019 YALA,NUWARAELIYA,Sown,Major,263
2019 YALA,GALLE,Sown,Major,20
2019 YALA,MATARA,Sown,Major,3876
2019 YALA,HAMBANTOTA,Sown,Major,27955
2019 YALA,JAFFNA,Sown,Major,NA
2019 YALA,MANNAR,Sown,Major,909
2019 YALA,VAVUNIYA,Sown,Major,1514
2019 YALA,MULATIVU,Sown,Major,4581
2019 YALA,KILLINOCHCHI,Sown,Major,9469
2019 YALA,BATTICALOA,Sown,Major,20773
2019 YALA,AMPARA,Sown,Major,53948
2019 YALA,TRINCOMALEE,Sown,Major,15252
2019 YALA,KURUNEGALA,Sown,Major,9591
2019 YALA,PUTTALAM,Sown,Major,5002
2019 YALA,ANURADHAPURA,Sown,Major,18936
2019 YALA,POLONNARUWA,Sown,Major,56471
2019 YALA,BADULLA,Sown,Major,8072
2019 YALA,MONARAGALA,Sown,Major,7786
2019 YALA,RATNAPURA,Sown,Major,3585
2019 YALA,KEGALLE,Sown,Major,NA
2019 YALA,COLOMBO,Sown,Minor,129
2019 YALA,GAMPAHA,Sown,Minor,1917
2019 YALA,KALUTARA,Sown,Minor,817
2019 YALA,KANDY,Sown,Minor,1488
2019 YALA,MATALE,Sown,Minor,990
2019 YALA,NUWARAELIYA,Sown,Minor,1224
2019 YALA,GALLE,Sown,Minor,537
2019 YALA,MATARA,Sown,Minor,2804
2019 YALA,HAMBANTOTA,Sown,Minor,3974
2019 YALA,JAFFNA,Sown,Minor,NA
2019 YALA,MANNAR,Sown,Minor,16
2019 YALA,VAVUNIYA,Sown,Minor,850
2019 YALA,MULATIVU,Sown,Minor,713
2019 YALA,KILLINOCHCHI,Sown,Minor,112
2019 YALA,BATTICALOA,Sown,Minor,4673
2019 YALA,AMPARA,Sown,Minor,1855
2019 YALA,TRINCOMALEE,Sown,Minor,3123
2019 YALA,KURUNEGALA,Sown,Minor,15801
2019 YALA,PUTTALAM,Sown,Minor,2864
2019 YALA,ANURADHAPURA,Sown,Minor,14458
2019 YALA,POLONNARUWA,Sown,Minor,5153
2019 YALA,BADULLA,Sown,Minor,3171
2019 YALA,MONARAGALA,Sown,Minor,5940
2019 YALA,RATNAPURA,Sown,Minor,3159
2019 YALA,KEGALLE,Sown,Minor,728
2019 YALA,COLOMBO,Sown,RainFed,660
2019 YALA,GAMPAHA,Sown,RainFed,2242
2019 YALA,KALUTARA,Sown,RainFed,4161
2019 YALA,KANDY,Sown,RainFed,723
2019 YALA,MATALE,Sown,RainFed,241
2019 YALA,NUWARAELIYA,Sown,RainFed,NA
2019 YALA,GALLE,Sown,RainFed,2776
2019 YALA,MATARA,Sown,RainFed,4626
2019 YALA,HAMBANTOTA,Sown,RainFed,773
2019 YALA,JAFFNA,Sown,RainFed,NA
2019 YALA,MANNAR,Sown,RainFed,NA
2019 YALA,VAVUNIYA,Sown,RainFed,NA
2019 YALA,MULATIVU,Sown,RainFed,NA
2019 YALA,KILLINOCHCHI,Sown,RainFed,NA
2019 YALA,BATTICALOA,Sown,RainFed,1998
2019 YALA,AMPARA,Sown,RainFed,252
2019 YALA,TRINCOMALEE,Sown,RainFed,NA
2019 YALA,KURUNEGALA,Sown,RainFed,13756
2019 YALA,PUTTALAM,Sown,RainFed,594
2019 YALA,ANURADHAPURA,Sown,RainFed,18
2019 YALA,POLONNARUWA,Sown,RainFed,NA
2019 YALA,BADULLA,Sown,RainFed,27
2019 YALA,MONARAGALA,Sown,RainFed,420
2019 YALA,RATNAPURA,Sown,RainFed,605
2019 YALA,KEGALLE,Sown,RainFed,1956
2019 YALA,COLOMBO,Harvested,Major,91
2019 YALA,GAMPAHA,Harvested,Major,738
2019 YALA,KALUTARA,Harvested,Major,98
2019 YALA,KANDY,Harvested,Major,3647
2019 YALA,MATALE,Harvested,Major,3366
2019 YALA,NUWARAELIYA,Harvested,Major,263
2019 YALA,GALLE,Harvested,Major,15
2019 YALA,MATARA,Harvested,Major,2806
2019 YALA,HAMBANTOTA,Harvested,Major,27645
2019 YALA,JAFFNA,Harvested,Major,NA
2019 YALA,MANNAR,Harvested,Major,902
2019 YALA,VAVUNIYA,Harvested,Major,1509
2019 YALA,MULATIVU,Harvested,Major,4581
2019 YALA,KILLINOCHCHI,Harvested,Major,9469
2019 YALA,BATTICALOA,Harvested,Major,18847
2019 YALA,AMPARA,Harvested,Major,53349
2019 YALA,TRINCOMALEE,Harvested,Major,15252
2019 YALA,KURUNEGALA,Harvested,Major,9252
2019 YALA,PUTTALAM,Harvested,Major,4624
2019 YALA,ANURADHAPURA,Harvested,Major,18236
2019 YALA,POLONNARUWA,Harvested,Major,56419
2019 YALA,BADULLA,Harvested,Major,7845
2019 YALA,MONARAGALA,Harvested,Major,7478
2019 YALA,RATNAPURA,Harvested,Major,3567
2019 YALA,KEGALLE,Harvested,Major,NA
2019 YALA,COLOMBO,Harvested,Minor,120
2019 YALA,GAMPAHA,Harvested,Minor,1496
2019 YALA,KALUTARA,Harvested,Minor,762
2019 YALA,KANDY,Harvested,Minor,1465
2019 YALA,MATALE,Harvested,Minor,922
2019 YALA,NUWARAELIYA,Harvested,Minor,1224
2019 YALA,GALLE,Harvested,Minor,380
2019 YALA,MATARA,Harvested,Minor,2098
2019 YALA,HAMBANTOTA,Harvested,Minor,3858
2019 YALA,JAFFNA,Harvested,Minor,NA
2019 YALA,MANNAR,Harvested,Minor,13
2019 YALA,VAVUNIYA,Harvested,Minor,809
2019 YALA,MULATIVU,Harvested,Minor,681
2019 YALA,KILLINOCHCHI,Harvested,Minor,112
2019 YALA,BATTICALOA,Harvested,Minor,3832
2019 YALA,AMPARA,Harvested,Minor,1524
2019 YALA,TRINCOMALEE,Harvested,Minor,2847
2019 YALA,KURUNEGALA,Harvested,Minor,12749
2019 YALA,PUTTALAM,Harvested,Minor,2091
2019 YALA,ANURADHAPURA,Harvested,Minor,13837
2019 YALA,POLONNARUWA,Harvested,Minor,5010
2019 YALA,BADULLA,Harvested,Minor,3116
2019 YALA,MONARAGALA,Harvested,Minor,5356
2019 YALA,RATNAPURA,Harvested,Minor,3065
2019 YALA,KEGALLE,Harvested,Minor,638
2019 YALA,COLOMBO,Harvested,RainFed,577
2019 YALA,GAMPAHA,Harvested,RainFed,1949
2019 YALA,KALUTARA,Harvested,RainFed,3882
2019 YALA,KANDY,Harvested,RainFed,705
2019 YALA,MATALE,Harvested,RainFed,204
2019 YALA,NUWARAELIYA,Harvested,RainFed,NA
2019 YALA,GALLE,Harvested,RainFed,2275
2019 YALA,MATARA,Harvested,RainFed,3846
2019 YALA,HAMBANTOTA,Harvested,RainFed,692
2019 YALA,JAFFNA,Harvested,RainFed,NA
2019 YALA,MANNAR,Harvested,RainFed,NA
2019 YALA,VAVUNIYA,Harvested,RainFed,NA
2019 YALA,MULATIVU,Harvested,RainFed,NA
2019 YALA,KILLINOCHCHI,Harvested,RainFed,NA
2019 YALA,BATTICALOA,Harvested,RainFed,1826
2019 YALA,AMPARA,Harvested,RainFed,244
2019 YALA,TRINCOMALEE,Harvested,RainFed,NA
2019 YALA,KURUNEGALA,Harvested,RainFed,8763
2019 YALA,PUTTALAM,Harvested,RainFed,446
2019 YALA,ANURADHAPURA,Harvested,RainFed,18
2019 YALA,POLONNARUWA,Harvested,RainFed,NA
2019 YALA,BADULLA,Harvested,RainFed,27
2019 YALA,MONARAGALA,Harvested,RainFed,353
2019 YALA,RATNAPURA,Harvested,RainFed,552
2019 YALA,KEGALLE,Harvested,RainFed,1647
2019 YALA,COLOMBO,Yield,Major,3534
2019 YALA,GAMPAHA,Yield,Major,4031
2019 YALA,KALUTARA,Yield,Major,3075
2019 YALA,KANDY,Yield,Major,3428
2019 YALA,MATALE,Yield,Major,5524
2019 YALA,NUWARAELIYA,Yield,Major,2390
2019 YALA,GALLE,Yield,Major,2672
2019 YALA,MATARA,Yield,Major,3577
2019 YALA,HAMBANTOTA,Yield,Major,5877
2019 YALA,JAFFNA,Yield,Major,NA
2019 YALA,MANNAR,Yield,Major,5527
2019 YALA,VAVUNIYA,Yield,Major,5662
2019 YALA,MULATIVU,Yield,Major,5116
2019 YALA,KILLINOCHCHI,Yield,Major,5183
2019 YALA,BATTICALOA,Yield,Major,3568
2019 YALA,AMPARA,Yield,Major,5407
2019 YALA,TRINCOMALEE,Yield,Major,5194
2019 YALA,KURUNEGALA,Yield,Major,4716
2019 YALA,PUTTALAM,Yield,Major,5632
2019 YALA,ANURADHAPURA,Yield,Major,5271
2019 YALA,POLONNARUWA,Yield,Major,5522
2019 YALA,BADULLA,Yield,Major,5471
2019 YALA,MONARAGALA,Yield,Major,5549
2019 YALA,RATNAPURA,Yield,Major,5665
2019 YALA,KEGALLE,Yield,Major,NA
2019 YALA,COLOMBO,Yield,Minor,3628
2019 YALA,GAMPAHA,Yield,Minor,2957
2019 YALA,KALUTARA,Yield,Minor,2926
2019 YALA,KANDY,Yield,Minor,3060
2019 YALA,MATALE,Yield,Minor,4572
2019 YALA,NUWARAELIYA,Yield,Minor,2784
2019 YALA,GALLE,Yield,Minor,3199
2019 YALA,MATARA,Yield,Minor,3048
2019 YALA,HAMBANTOTA,Yield,Minor,5019
2019 YALA,JAFFNA,Yield,Minor,NA
2019 YALA,MANNAR,Yield,Minor,4634
2019 YALA,VAVUNIYA,Yield,Minor,4807
2019 YALA,MULATIVU,Yield,Minor,4846
2019 YALA,KILLINOCHCHI,Yield,Minor,5159
2019 YALA,BATTICALOA,Yield,Minor,4538
2019 YALA,AMPARA,Yield,Minor,4559
2019 YALA,TRINCOMALEE,Yield,Minor,3823
2019 YALA,KURUNEGALA,Yield,Minor,4073
2019 YALA,PUTTALAM,Yield,Minor,2292
2019 YALA,ANURADHAPURA,Yield,Minor,4920
2019 YALA,POLONNARUWA,Yield,Minor,5392
2019 YALA,BADULLA,Yield,Minor,4262
2019 YALA,MONARAGALA,Yield,Minor,4670
2019 YALA,RATNAPURA,Yield,Minor,4177
2019 YALA,KEGALLE,Yield,Minor,3015
2019 YALA,COLOMBO,Yield,RainFed,2872
2019 YALA,GAMPAHA,Yield,RainFed,3178
2019 YALA,KALUTARA,Yield,RainFed,2838
2019 YALA,KANDY,Yield,RainFed,3953
2019 YALA,MATALE,Yield,RainFed,3996
2019 YALA,NUWARAELIYA,Yield,RainFed,NA
2019 YALA,GALLE,Yield,RainFed,2983
2019 YALA,MATARA,Yield,RainFed,3100
2019 YALA,HAMBANTOTA,Yield,RainFed,3632
2019 YALA,JAFFNA,Yield,RainFed,NA
2019 YALA,MANNAR,Yield,RainFed,NA
2019 YALA,VAVUNIYA,Yield,RainFed,NA
2019 YALA,MULATIVU,Yield,RainFed,NA
2019 YALA,KILLINOCHCHI,Yield,RainFed,NA
2019 YALA,BATTICALOA,Yield,RainFed,3067
2019 YALA,AMPARA,Yield,RainFed,3989
2019 YALA,TRINCOMALEE,Yield,RainFed,NA
2019 YALA,KURUNEGALA,Yield,RainFed,3191
2019 YALA,PUTTALAM,Yield,RainFed,2771
2019 YALA,ANURADHAPURA,Yield,RainFed,3870
2019 YALA,POLONNARUWA,Yield,RainFed,NA
2019 YALA,BADULLA,Yield,RainFed,2152
2019 YALA,MONARAGALA,Yield,RainFed,2936
2019 YALA,RATNAPURA,Yield,RainFed,3106
2019 YALA,KEGALLE,Yield,RainFed,2831
2018/2019 MAHA,COLOMBO,Sown,Major,306
2018/2019 MAHA,GAMPAHA,Sown,Major,1589
2018/2019 MAHA,KALUTARA,Sown,Major,115
2018/2019 MAHA,KANDY,Sown,Major,4244
2018/2019 MAHA,MATALE,Sown,Major,7195
2018/2019 MAHA,NUWARAELIYA,Sown,Major,843
2018/2019 MAHA,GALLE,Sown,Major,197
2018/2019 MAHA,MATARA,Sown,Major,4078
2018/2019 MAHA,HAMBANTOTA,Sown,Major,27269
2018/2019 MAHA,JAFFNA,Sown,Major,NA
2018/2019 MAHA,MANNAR,Sown,Major,15281
2018/2019 MAHA,VAVUNIYA,Sown,Major,4376
2018/2019 MAHA,MULATIVU,Sown,Major,6954
2018/2019 MAHA,KILLINOCHCHI,Sown,Major,11418
2018/2019 MAHA,BATTICALOA,Sown,Major,24554
2018/2019 MAHA,AMPARA,Sown,Major,60032
2018/2019 MAHA,TRINCOMALEE,Sown,Major,20243
2018/2019 MAHA,KURUNEGALA,Sown,Major,17944
2018/2019 MAHA,PUTTALAM,Sown,Major,7899
2018/2019 MAHA,ANURADHAPURA,Sown,Major,53254
2018/2019 MAHA,POLONNARUWA,Sown,Major,56720
2018/2019 MAHA,BADULLA,Sown,Major,10757
2018/2019 MAHA,MONARAGALA,Sown,Major,8893
2018/2019 MAHA,RATNAPURA,Sown,Major,3809
2018/2019 MAHA,KEGALLE,Sown,Major,NA
2018/2019 MAHA,COLOMBO,Sown,Minor,718
2018/2019 MAHA,GAMPAHA,Sown,Minor,3378
2018/2019 MAHA,KALUTARA,Sown,Minor,1347
2018/2019 MAHA,KANDY,Sown,Minor,4805
2018/2019 MAHA,MATALE,Sown,Minor,7604
2018/2019 MAHA,NUWARAELIYA,Sown,Minor,3799
2018/2019 MAHA,GALLE,Sown,Minor,1509
2018/2019 MAHA,MATARA,Sown,Minor,3071
2018/2019 MAHA,HAMBANTOTA,Sown,Minor,5637
2018/2019 MAHA,JAFFNA,Sown,Minor,NA
2018/2019 MAHA,MANNAR,Sown,Minor,3907
2018/2019 MAHA,VAVUNIYA,Sown,Minor,12326
2018/2019 MAHA,MULATIVU,Sown,Minor,4242
2018/2019 MAHA,KILLINOCHCHI,Sown,Minor,553
2018/2019 MAHA,BATTICALOA,Sown,Minor,3841
2018/2019 MAHA,AMPARA,Sown,Minor,4533
2018/2019 MAHA,TRINCOMALEE,Sown,Minor,7642
2018/2019 MAHA,KURUNEGALA,Sown,Minor,36159
2018/2019 MAHA,PUTTALAM,Sown,Minor,10857
2018/2019 MAHA,ANURADHAPURA,Sown,Minor,45673
2018/2019 MAHA,POLONNARUWA,Sown,Minor,6831
2018/2019 MAHA,BADULLA,Sown,Minor,9572
2018/2019 MAHA,MONARAGALA,Sown,Minor,10615
2018/2019 MAHA,RATNAPURA,Sown,Minor,5029
2018/2019 MAHA,KEGALLE,Sown,Minor,1776
2018/2019 MAHA,COLOMBO,Sown,RainFed,2208
2018/2019 MAHA,GAMPAHA,Sown,RainFed,5377
2018/2019 MAHA,KALUTARA,Sown,RainFed,8835
2018/2019 MAHA,KANDY,Sown,RainFed,2063
2018/2019 MAHA,MATALE,Sown,RainFed,4316
2018/2019 MAHA,NUWARAELIYA,Sown,RainFed,18
2018/2019 MAHA,GALLE,Sown,RainFed,6607
2018/2019 MAHA,MATARA,Sown,RainFed,5801
2018/2019 MAHA,HAMBANTOTA,Sown,RainFed,1258
2018/2019 MAHA,JAFFNA,Sown,RainFed,10588
2018/2019 MAHA,MANNAR,Sown,RainFed,79
2018/2019 MAHA,VAVUNIYA,Sown,RainFed,2505
2018/2019 MAHA,MULATIVU,Sown,RainFed,5421
2018/2019 MAHA,KILLINOCHCHI,Sown,RainFed,14794
2018/2019 MAHA,BATTICALOA,Sown,RainFed,38819
2018/2019 MAHA,AMPARA,Sown,RainFed,15417
2018/2019 MAHA,TRINCOMALEE,Sown,RainFed,10702
2018/2019 MAHA,KURUNEGALA,Sown,RainFed,26267
2018/2019 MAHA,PUTTALAM,Sown,RainFed,1925
2018/2019 MAHA,ANURADHAPURA,Sown,RainFed,10886
2018/2019 MAHA,POLONNARUWA,Sown,RainFed,2419
2018/2019 MAHA,BADULLA,Sown,RainFed,5341
2018/2019 MAHA,MONARAGALA,Sown,RainFed,16536
2018/2019 MAHA,RATNAPURA,Sown,RainFed,2337
2018/2019 MAHA,KEGALLE,Sown,RainFed,4114
2018/2019 MAHA,COLOMBO,Harvested,Major,306
2018/2019 MAHA,GAMPAHA,Harvested,Major,1577
2018/2019 MAHA,KALUTARA,Harvested,Major,115
2018/2019 MAHA,KANDY,Harvested,Major,4244
2018/2019 MAHA,MATALE,Harvested,Major,7192
2018/2019 MAHA,NUWARAELIYA,Harvested,Major,843
2018/2019 MAHA,GALLE,Harvested,Major,196
2018/2019 MAHA,MATARA,Harvested,Major,4005
2018/2019 MAHA,HAMBANTOTA,Harvested,Major,27269
2018/2019 MAHA,JAFFNA,Harvested,Major,NA
2018/2019 MAHA,MANNAR,Harvested,Major,15281
2018/2019 MAHA,VAVUNIYA,Harvested,Major,4362
2018/2019 MAHA,MULATIVU,Harvested,Major,5210
2018/2019 MAHA,KILLINOCHCHI,Harvested,Major,11258
2018/2019 MAHA,BATTICALOA,Harvested,Major,24554
2018/2019 MAHA,AMPARA,Harvested,Major,59903
2018/2019 MAHA,TRINCOMALEE,Harvested,Major,20243
2018/2019 MAHA,KURUNEGALA,Harvested,Major,17937
2018/2019 MAHA,PUTTALAM,Harvested,Major,7870
2018/2019 MAHA,ANURADHAPURA,Harvested,Major,53188
2018/2019 MAHA,POLONNARUWA,Harvested,Major,56679
2018/2019 MAHA,BADULLA,Harvested,Major,10755
2018/2019 MAHA,MONARAGALA,Harvested,Major,7050
2018/2019 MAHA,RATNAPURA,Harvested,Major,3804
2018/2019 MAHA,KEGALLE,Harvested,Major,NA
2018/2019 MAHA,COLOMBO,Harvested,Minor,718
2018/2019 MAHA,GAMPAHA,Harvested,Minor,3278
2018/2019 MAHA,KALUTARA,Harvested,Minor,1346
2018/2019 MAHA,KANDY,Harvested,Minor,4779
2018/2019 MAHA,MATALE,Harvested,Minor,7521
2018/2019 MAHA,NUWARAELIYA,Harvested,Minor,3799
2018/2019 MAHA,GALLE,Harvested,Minor,1509
2018/2019 MAHA,MATARA,Harvested,Minor,3058
2018/2019 MAHA,HAMBANTOTA,Harvested,Minor,5614
2018/2019 MAHA,JAFFNA,Harvested,Minor,NA
2018/2019 MAHA,MANNAR,Harvested,Minor,3907
2018/2019 MAHA,VAVUNIYA,Harvested,Minor,11560
2018/2019 MAHA,MULATIVU,Harvested,Minor,2907
2018/2019 MAHA,KILLINOCHCHI,Harvested,Minor,521
2018/2019 MAHA,BATTICALOA,Harvested,Minor,3841
2018/2019 MAHA,AMPARA,Harvested,Minor,4452
2018/2019 MAHA,TRINCOMALEE,Harvested,Minor,7642
2018/2019 MAHA,KURUNEGALA,Harvested,Minor,35999
2018/2019 MAHA,PUTTALAM,Harvested,Minor,10720
2018/2019 MAHA,ANURADHAPURA,Harvested,Minor,45386
2018/2019 MAHA,POLONNARUWA,Harvested,Minor,6827
2018/2019 MAHA,BADULLA,Harvested,Minor,9534
2018/2019 MAHA,MONARAGALA,Harvested,Minor,9073
2018/2019 MAHA,RATNAPURA,Harvested,Minor,5022
2018/2019 MAHA,KEGALLE,Harvested,Minor,1776
2018/2019 MAHA,COLOMBO,Harvested,RainFed,2208
2018/2019 MAHA,GAMPAHA,Harvested,RainFed,5236
2018/2019 MAHA,KALUTARA,Harvested,RainFed,8831
2018/2019 MAHA,KANDY,Harvested,RainFed,2049
2018/2019 MAHA,MATALE,Harvested,RainFed,4134
2018/2019 MAHA,NUWARAELIYA,Harvested,RainFed,18
2018/2019 MAHA,GALLE,Harvested,RainFed,6603
2018/2019 MAHA,MATARA,Harvested,RainFed,5738
2018/2019 MAHA,HAMBANTOTA,Harvested,RainFed,1258
2018/2019 MAHA,JAFFNA,Harvested,RainFed,10171
2018/2019 MAHA,MANNAR,Harvested,RainFed,79
2018/2019 MAHA,VAVUNIYA,Harvested,RainFed,2374
2018/2019 MAHA,MULATIVU,Harvested,RainFed,2861
2018/2019 MAHA,KILLINOCHCHI,Harvested,RainFed,14389
2018/2019 MAHA,BATTICALOA,Harvested,RainFed,38819
2018/2019 MAHA,AMPARA,Harvested,RainFed,12005
2018/2019 MAHA,TRINCOMALEE,Harvested,RainFed,10583
2018/2019 MAHA,KURUNEGALA,Harvested,RainFed,26139
2018/2019 MAHA,PUTTALAM,Harvested,RainFed,1803
2018/2019 MAHA,ANURADHAPURA,Harvested,RainFed,10680
2018/2019 MAHA,POLONNARUWA,Harvested,RainFed,1682
2018/2019 MAHA,BADULLA,Harvested,RainFed,5326
2018/2019 MAHA,MONARAGALA,Harvested,RainFed,10057
2018/2019 MAHA,RATNAPURA,Harvested,RainFed,2333
2018/2019 MAHA,KEGALLE,Harvested,RainFed,4114
2018/2019 MAHA,COLOMBO,Yield,Major,3899
2018/2019 MAHA,GAMPAHA,Yield,Major,3401
2018/2019 MAHA,KALUTARA,Yield,Major,3842
2018/2019 MAHA,KANDY,Yield,Major,5218
2018/2019 MAHA,MATALE,Yield,Major,5666
2018/2019 MAHA,NUWARAELIYA,Yield,Major,4601
2018/2019 MAHA,GALLE,Yield,Major,4050
2018/2019 MAHA,MATARA,Yield,Major,4602
2018/2019 MAHA,HAMBANTOTA,Yield,Major,6804
2018/2019 MAHA,JAFFNA,Yield,Major,NA
2018/2019 MAHA,MANNAR,Yield,Major,5115
2018/2019 MAHA,VAVUNIYA,Yield,Major,5583
2018/2019 MAHA,MULATIVU,Yield,Major,5121
2018/2019 MAHA,KILLINOCHCHI,Yield,Major,4457
2018/2019 MAHA,BATTICALOA,Yield,Major,3450
2018/2019 MAHA,AMPARA,Yield,Major,5248
2018/2019 MAHA,TRINCOMALEE,Yield,Major,4681
2018/2019 MAHA,KURUNEGALA,Yield,Major,5660
2018/2019 MAHA,PUTTALAM,Yield,Major,4877
2018/2019 MAHA,ANURADHAPURA,Yield,Major,5889
2018/2019 MAHA,POLONNARUWA,Yield,Major,5083
2018/2019 MAHA,BADULLA,Yield,Major,5030
2018/2019 MAHA,MONARAGALA,Yield,Major,6515
2018/2019 MAHA,RATNAPURA,Yield,Major,5728
2018/2019 MAHA,KEGALLE,Yield,Major,NA
2018/2019 MAHA,COLOMBO,Yield,Minor,3576
2018/2019 MAHA,GAMPAHA,Yield,Minor,3681
2018/2019 MAHA,KALUTARA,Yield,Minor,3546
2018/2019 MAHA,KANDY,Yield,Minor,3640
2018/2019 MAHA,MATALE,Yield,Minor,5301
2018/2019 MAHA,NUWARAELIYA,Yield,Minor,5090
2018/2019 MAHA,GALLE,Yield,Minor,2751
2018/2019 MAHA,MATARA,Yield,Minor,4019
2018/2019 MAHA,HAMBANTOTA,Yield,Minor,6210
2018/2019 MAHA,JAFFNA,Yield,Minor,NA
2018/2019 MAHA,MANNAR,Yield,Minor,5128
2018/2019 MAHA,VAVUNIYA,Yield,Minor,5683
2018/2019 MAHA,MULATIVU,Yield,Minor,5287
2018/2019 MAHA,KILLINOCHCHI,Yield,Minor,3866
2018/2019 MAHA,BATTICALOA,Yield,Minor,3474
2018/2019 MAHA,AMPARA,Yield,Minor,4502
2018/2019 MAHA,TRINCOMALEE,Yield,Minor,4351
2018/2019 MAHA,KURUNEGALA,Yield,Minor,4485
2018/2019 MAHA,PUTTALAM,Yield,Minor,4486
2018/2019 MAHA,ANURADHAPURA,Yield,Minor,5142
2018/2019 MAHA,POLONNARUWA,Yield,Minor,5067
2018/2019 MAHA,BADULLA,Yield,Minor,4545
2018/2019 MAHA,MONARAGALA,Yield,Minor,4768
2018/2019 MAHA,RATNAPURA,Yield,Minor,4290
2018/2019 MAHA,KEGALLE,Yield,Minor,4551
2018/2019 MAHA,COLOMBO,Yield,RainFed,3433
2018/2019 MAHA,GAMPAHA,Yield,RainFed,3835
2018/2019 MAHA,KALUTARA,Yield,RainFed,3654
2018/2019 MAHA,KANDY,Yield,RainFed,3880
2018/2019 MAHA,MATALE,Yield,RainFed,4477
2018/2019 MAHA,NUWARAELIYA,Yield,RainFed,4231
2018/2019 MAHA,GALLE,Yield,RainFed,3336
2018/2019 MAHA,MATARA,Yield,RainFed,3927
2018/2019 MAHA,HAMBANTOTA,Yield,RainFed,4507
2018/2019 MAHA,JAFFNA,Yield,RainFed,4224
2018/2019 MAHA,MANNAR,Yield,RainFed,3828
