Harvest,Region,SHY,Irrigation_type,Value
2022 YALA,JAFFNA,Harvested,Minor,NA
2022 YALA,MANNAR,Harvested,Minor,430
2022 YALA,VAVUNIYA,Harvested,Minor,3047
2022 YALA,MULATIVU,Harvested,Minor,1883
2022 YALA,KILLINOCHCHI,Harvested,Minor,70
2022 YALA,BATTICALOA,Harvested,Minor,4438
2022 YALA,AMPARA,Harvested,Minor,2273
2022 YALA,TRINCOMALEE,Harvested,Minor,4443
2022 YALA,KURUNEGALA,Harvested,Minor,22660
2022 YALA,PUTTALAM,Harvested,Minor,6462
2022 YALA,ANURADHAPURA,Harvested,Minor,22071
2022 YALA,POLONNARUWA,Harvested,Minor,5536
2022 YALA,BADULLA,Harvested,Minor,4887
2022 YALA,MONARAGALA,Harvested,Minor,6691
2022 YALA,RATNAPURA,Harvested,Minor,5270
2022 YALA,KEGALLE,Harvested,Minor,1713
2022 YALA,COLOMBO,Harvested,RainFed,2211
2022 YALA,GAMPAHA,Harvested,RainFed,5205
2022 YALA,KALUTARA,Harvested,RainFed,9023
2022 YALA,KANDY,Harvested,RainFed,2517
2022 YALA,MATALE,Harvested,RainFed,1118
2022 YALA,NUWARAELIYA,Harvested,RainFed,2
2022 YALA,GALLE,Harvested,RainFed,8566
2022 YALA,MATARA,Harvested,RainFed,6118
2022 YALA,HAMBANTOTA,Harvested,RainFed,833
2022 YALA,JAFFNA,Harvested,RainFed,NA
2022 YALA,MANNAR,Harvested,RainFed,NA
2022 YALA,VAVUNIYA,Harvested,RainFed,NA
2022 YALA,MULATIVU,Harvested,RainFed,NA
2022 YALA,KILLINOCHCHI,Harvested,RainFed,NA
2022 YALA,BATTICALOA,Harvested,RainFed,1998
2022 YALA,AMPARA,Harvested,RainFed,369
2022 YALA,TRINCOMALEE,Harvested,RainFed,449
2022 YALA,KURUNEGALA,Harvested,RainFed,19728
2022 YALA,PUTTALAM,Harvested,RainFed,916
2022 YALA,ANURADHAPURA,Harvested,RainFed,512
2022 YALA,POLONNARUWA,Harvested,RainFed,NA
2022 YALA,BADULLA,Harvested,RainFed,30
2022 YALA,MONARAGALA,Harvested,RainFed,949
2022 YALA,RATNAPURA,Harvested,RainFed,2110
2022 YALA,KEGALLE,Harvested,RainFed,4375
2022 YALA,COLOMBO,Yield,Major,3114
2022 YALA,GAMPAHA,Yield,Major,2604
2022 YALA,KALUTARA,Yield,Major,3618
2022 YALA,KANDY,Yield,Major,3469
2022 YALA,MATALE,Yield,Major,2723
2022 YALA,NUWARAELIYA,Yield,Major,4310
2022 YALA,GALLE,Yield,Major,2077
2022 YALA,MATARA,Yield,Major,2984
2022 YALA,HAMBANTOTA,Yield,Major,4833
2022 YALA,JAFFNA,Yield,Major,NA
2022 YALA,MANNAR,Yield,Major,3575
2022 YALA,VAVUNIYA,Yield,Major,4563
2022 YALA,MULATIVU,Yield,Major,3358
2022 YALA,KILLINOCHCHI,Yield,Major,2951
2022 YALA,BATTICALOA,Yield,Major,2970
2022 YALA,AMPARA,Yield,Major,3746
2022 YALA,TRINCOMALEE,Yield,Major,4143
2022 YALA,KURUNEGALA,Yield,Major,2827
2022 YALA,PUTTALAM,Yield,Major,3232
2022 YALA,ANURADHAPURA,Yield,Major,3375
2022 YALA,POLONNARUWA,Yield,Major,4306
2022 YALA,BADULLA,Yield,Major,3190
2022 YALA,MONARAGALA,Yield,Major,4060
2022 YALA,RATNAPURA,Yield,Major,4341
2022 YALA,KEGALLE,Yield,Major,NA
2022 YALA,COLOMBO,Yield,Minor,2187
2022 YALA,GAMPAHA,Yield,Minor,2681
2022 YALA,KALUTARA,Yield,Minor,2593
2022 YALA,KANDY,Yield,Minor,3188
2022 YALA,MATALE,Yield,Minor,2904
2022 YALA,NUWARAELIYA,Yield,Minor,3530
2022 YALA,GALLE,Yield,Minor,2039
2022 YALA,MATARA,Yield,Minor,2502
2022 YALA,HAMBANTOTA,Yield,Minor,3523
2022 YALA,JAFFNA,Yield,Minor,NA
2022 YALA,MANNAR,Yield,Minor,2781
2022 YALA,VAVUNIYA,Yield,Minor,4215
2022 YALA,MULATIVU,Yield,Minor,4092
2022 YALA,KILLINOCHCHI,Yield,Minor,2038
2022 YALA,BATTICALOA,Yield,Minor,2974
2022 YALA,AMPARA,Yield,Minor,2887
2022 YALA,TRINCOMALEE,Yield,Minor,3441
2022 YALA,KURUNEGALA,Yield,Minor,2835
2022 YALA,PUTTALAM,Yield,Minor,2351
2022 YALA,ANURADHAPURA,Yield,Minor,3073
2022 YALA,POLONNARUWA,Yield,Minor,4123
2022 YALA,BADULLA,Yield,Minor,3598
2022 YALA,MONARAGALA,Yield,Minor,3022
2022 YALA,RATNAPURA,Yield,Minor,2960
2022 YALA,KEGALLE,Yield,Minor,2562
2022 YALA,COLOMBO,Yield,RainFed,2093
2022 YALA,GAMPAHA,Yield,RainFed,2352
2022 YALA,KALUTARA,Yield,RainFed,2267
2022 YALA,KANDY,Yield,RainFed,2881
2022 YALA,MATALE,Yield,RainFed,2419
2022 YALA,NUWARAELIYA,Yield,RainFed,4022
2022 YALA,GALLE,Yield,RainFed,2227
2022 YALA,MATARA,Yield,RainFed,2690
2022 YALA,HAMBANTOTA,Yield,RainFed,2252
2022 YALA,JAFFNA,Yield,RainFed,NA
2022 YALA,MANNAR,Yield,RainFed,NA
2022 YALA,VAVUNIYA,Yield,RainFed,NA
2022 YALA,MULATIVU,Yield,RainFed,NA
2022 YALA,KILLINOCHCHI,Yield,RainFed,NA
2022 YALA,BATTICALOA,Yield,RainFed,2672
2022 YALA,AMPARA,Yield,RainFed,2602
2022 YALA,TRINCOMALEE,Yield,RainFed,4723
2022 YALA,KURUNEGALA,Yield,RainFed,2669
2022 YALA,PUTTALAM,Yield,RainFed,2515
2022 YALA,ANURADHAPURA,Yield,RainFed,1628
2022 YALA,POLONNARUWA,Yield,RainFed,NA
2022 YALA,BADULLA,Yield,RainFed,3661
2022 YALA,MONARAGALA,Yield,RainFed,868
2022 YALA,RATNAPURA,Yield,RainFed,2411
2022 YALA,KEGALLE,Yield,RainFed,2542
21/22 MAHA,COLOMBO,Sown,Major,324
21/22 MAHA,GAMPAHA,Sown,Major,1659
21/22 MAHA,KALUTARA,Sown,Major,145
21/22 MAHA,KANDY,Sown,Major,4268
21/22 MAHA,MATALE,Sown,Major,7628
21/22 MAHA,NUWARAELIYA,Sown,Major,900
21/22 MAHA,GALLE,Sown,Major,144
21/22 MAHA,MATARA,Sown,Major,4259
21/22 MAHA,HAMBANTOTA,Sown,Major,29498
21/22 MAHA,JAFFNA,Sown,Major,NA
21/22 MAHA,MANNAR,Sown,Major,16114
21/22 MAHA,VAVUNIYA,Sown,Major,4432
21/22 MAHA,MULATIVU,Sown,Major,8095
21/22 MAHA,KILLINOCHCHI,Sown,Major,12171
21/22 MAHA,BATTICALOA,Sown,Major,24312
21/22 MAHA,AMPARA,Sown,Major,61692
21/22 MAHA,TRINCOMALEE,Sown,Major,21078
21/22 MAHA,KURUNEGALA,Sown,Major,17608
21/22 MAHA,PUTTALAM,Sown,Major,8316
21/22 MAHA,ANURADHAPURA,Sown,Major,52690
21/22 MAHA,POLONNARUWA,Sown,Major,57364
21/22 MAHA,BADULLA,Sown,Major,10490
21/22 MAHA,MONARAGALA,Sown,Major,8708
21/22 MAHA,RATNAPURA,Sown,Major,4168
21/22 MAHA,KEGALLE,Sown,Major,NA
21/22 MAHA,COLOMBO,Sown,Minor,710
21/22 MAHA,GAMPAHA,Sown,Minor,3076
21/22 MAHA,KALUTARA,Sown,Minor,1573
21/22 MAHA,KANDY,Sown,Minor,5181
21/22 MAHA,MATALE,Sown,Minor,7839
21/22 MAHA,NUWARAELIYA,Sown,Minor,4133
21/22 MAHA,GALLE,Sown,Minor,1756
21/22 MAHA,MATARA,Sown,Minor,3193
21/22 MAHA,HAMBANTOTA,Sown,Minor,5463
21/22 MAHA,JAFFNA,Sown,Minor,NA
21/22 MAHA,MANNAR,Sown,Minor,4257
21/22 MAHA,VAVUNIYA,Sown,Minor,12374
21/22 MAHA,MULATIVU,Sown,Minor,4462
21/22 MAHA,KILLINOCHCHI,Sown,Minor,577
21/22 MAHA,BATTICALOA,Sown,Minor,3830
21/22 MAHA,AMPARA,Sown,Minor,4643
21/22 MAHA,TRINCOMALEE,Sown,Minor,7495
21/22 MAHA,KURUNEGALA,Sown,Minor,37541
21/22 MAHA,PUTTALAM,Sown,Minor,10591
21/22 MAHA,ANURADHAPURA,Sown,Minor,50615
21/22 MAHA,POLONNARUWA,Sown,Minor,6768
21/22 MAHA,BADULLA,Sown,Minor,8761
21/22 MAHA,MONARAGALA,Sown,Minor,10660
21/22 MAHA,RATNAPURA,Sown,Minor,5886
21/22 MAHA,KEGALLE,Sown,Minor,1784
21/22 MAHA,COLOMBO,Sown,RainFed,2796
21/22 MAHA,GAMPAHA,Sown,RainFed,6776
21/22 MAHA,KALUTARA,Sown,RainFed,10221
21/22 MAHA,KANDY,Sown,RainFed,2762
21/22 MAHA,MATALE,Sown,RainFed,4525
21/22 MAHA,NUWARAELIYA,Sown,RainFed,11
21/22 MAHA,GALLE,Sown,RainFed,9335
21/22 MAHA,MATARA,Sown,RainFed,6233
21/22 MAHA,HAMBANTOTA,Sown,RainFed,1143
21/22 MAHA,JAFFNA,Sown,RainFed,11127
21/22 MAHA,MANNAR,Sown,RainFed,95
21/22 MAHA,VAVUNIYA,Sown,RainFed,2053
21/22 MAHA,MULATIVU,Sown,RainFed,7433
21/22 MAHA,KILLINOCHCHI,Sown,RainFed,14655
21/22 MAHA,BATTICALOA,Sown,RainFed,38378
21/22 MAHA,AMPARA,Sown,RainFed,16107
21/22 MAHA,TRINCOMALEE,Sown,RainFed,11077
21/22 MAHA,KURUNEGALA,Sown,RainFed,26305
21/22 MAHA,PUTTALAM,Sown,RainFed,2023
21/22 MAHA,ANURADHAPURA,Sown,RainFed,13664
21/22 MAHA,POLONNARUWA,Sown,RainFed,2404
21/22 MAHA,BADULLA,Sown,RainFed,4944
21/22 MAHA,MONARAGALA,Sown,RainFed,14993
21/22 MAHA,RATNAPURA,Sown,RainFed,3038
21/22 MAHA,KEGALLE,Sown,RainFed,4517
21/22 MAHA,COLOMBO,Harvested,Major,324
21/22 MAHA,GAMPAHA,Harvested,Major,1556
21/22 MAHA,KALUTARA,Harvested,Major,129
21/22 MAHA,KANDY,Harvested,Major,4268
21/22 MAHA,MATALE,Harvested,Major,7593
21/22 MAHA,NUWARAELIYA,Harvested,Major,900
21/22 MAHA,GALLE,Harvested,Major,144
21/22 MAHA,MATARA,Harvested,Major,4105
21/22 MAHA,HAMBANTOTA,Harvested,Major,29438
21/22 MAHA,JAFFNA,Harvested,Major,NA
21/22 MAHA,MANNAR,Harvested,Major,15995
